packages,mean,std
MultiK + elbow,0.5630739565927083,0.22670288880736753
MultiK,0.8185627153136067,0.1543145149098333
ChooseR + Scanpy,0.7793222055520391,0.11667866017712471
ChooseR + elbow,0.4630877558034867,0.28068256917594
MultiK + scVI,0.782914121180302,0.1721102065921948
ChooseR + scLENS,0.8364034252713569,0.10358784973444557
MultiK + scLENS,0.9008224572693992,0.10612910031942123
ChooseR,0.7338667886082393,0.14706778530464337
MultiK + Scanpy,0.7770156488470455,0.15078234369942548
ChooseR + scVI,0.7388312021235715,0.14747932871261554
