,data,Method,n_clusters,Average_Jaccard_Index
4,z_data_12073,ChooseR + scLENS,9,10
1,z_data_12073,MultiK,7,8
2,z_data_12073,ChooseR,16,7
3,z_data_12073,MultiK + scLENS,7,5
0,z_data_12073,cell_type,5,2
4,z_data_2410,ChooseR + scLENS,10,10
3,z_data_2410,MultiK + scLENS,6,7
2,z_data_2410,ChooseR,8,6
1,z_data_2410,MultiK,4,3
0,z_data_2410,cell_type,5,2
2,z_data_3308,ChooseR,13,6
4,z_data_3308,ChooseR + scLENS,7,6
3,z_data_3308,MultiK + scLENS,7,6
0,z_data_3308,cell_type,5,3
1,z_data_3308,MultiK,4,3
3,z_data_3706,MultiK + scLENS,7,6
4,z_data_3706,ChooseR + scLENS,7,5
0,z_data_3706,cell_type,5,3
2,z_data_3706,ChooseR,6,3
1,z_data_3706,MultiK,6,3
4,z_data_3869,ChooseR + scLENS,7,6
3,z_data_3869,MultiK + scLENS,7,6
2,z_data_3869,ChooseR,9,5
1,z_data_3869,MultiK,6,3
0,z_data_3869,cell_type,5,2
2,z_data_4292,ChooseR,8,9
4,z_data_4292,ChooseR + scLENS,8,7
3,z_data_4292,MultiK + scLENS,7,6
1,z_data_4292,MultiK,5,4
0,z_data_4292,cell_type,5,2
4,z_data_4757,ChooseR + scLENS,8,11
3,z_data_4757,MultiK + scLENS,6,7
2,z_data_4757,ChooseR,14,6
1,z_data_4757,MultiK,6,3
0,z_data_4757,cell_type,5,2
2,z_data_5730,ChooseR,8,7
4,z_data_5730,ChooseR + scLENS,6,7
3,z_data_5730,MultiK + scLENS,5,7
1,z_data_5730,MultiK,5,6
0,z_data_5730,cell_type,5,4
3,z_data_785,MultiK + scLENS,5,6
4,z_data_785,ChooseR + scLENS,5,3
0,z_data_785,cell_type,5,2
2,z_data_785,ChooseR,6,2
1,z_data_785,MultiK,3,2
4,z_data_7993,ChooseR + scLENS,9,9
2,z_data_7993,ChooseR,12,8
3,z_data_7993,MultiK + scLENS,7,5
1,z_data_7993,MultiK,6,3
0,z_data_7993,cell_type,5,2
